Date,Open,High,Low,Close,Volume,Adj Close
1998-10-07,119.50,122.88,118.12,120.75,13164800,49.67
1998-10-06,124.00,124.00,118.75,119.25,14367400,49.06
1998-10-05,123.75,123.75,117.31,120.25,13442000,49.47
1998-10-02,124.12,125.25,118.94,124.81,14605200,51.35
1998-10-01,125.06,126.44,123.38,125.38,12537400,51.58
1998-09-30,130.75,131.50,127.62,128.50,8299400,52.86
1998-09-29,133.75,134.12,130.00,131.44,7089800,54.07
1998-09-28,134.50,136.19,132.19,133.62,7640800,54.97
1998-09-25,130.00,133.69,129.81,133.50,7306200,54.92
1998-09-24,131.56,134.94,130.25,130.56,8400400,53.71
1998-09-23,128.75,133.00,128.50,132.06,8660800,54.33
1998-09-22,129.38,130.62,127.69,127.75,8591200,52.55
1998-09-21,120.12,128.62,120.00,128.19,8713200,52.73
1998-09-18,126.75,127.25,124.25,124.69,9212400,51.29
1998-09-17,127.50,128.25,126.19,126.75,8840400,52.14
1998-09-16,130.00,130.94,128.19,130.50,6638800,53.69
